rule_id,source_mailbox,account_path,name,action,target_folder,public_folder,condition,conditions_count,fields,operators,review_reason
2,local-folders,Mail/Local Folders,Asunto contiene: INFORMACION NUEVA ENTRADA DE ALMACEN NEUMATICOS,Move to folder,Trash,/IPM_SUBTREE/Trash,"AND (subject,contains,INFORMACION NUEVA ENTRADA DE ALMACEN NEUMATICOS)",1,subject,contains,special_target
10,admin@arvera.es,Mail/mail.gira.net,Remitente es: dmunilla@snovit.eu,Copy to folder,COMERCIAL JOPE,/IPM_SUBTREE/COMERCIAL JOPE,"OR (from,is,dmunilla@snovit.eu) OR (from,is,@snovit.eu)",2,from,is,non_move_action
243,admin@arvera.es,Mail/mail.gira.net,Remitente es: factura@cevamiberica.com,Move to folder,CEVAM,/IPM_SUBTREE/CEVAM,"OR (from,is,factura@cevamiberica.com) OR (all addresses,contains,ramon.hernandez.cevamiberica.com) OR (from,is,almacen@cevamiberica.com) OR (from,contains,@cevamiberica.com) OR (from,ends with,@cevam.com)",5,all addresses;from,contains;ends with;is,unsupported_field
269,Mail/outlook.office365.com,Mail/outlook.office365.com,DEPRECATED,Reply,Templates,/IPM_SUBTREE/Templates,ALL,0,,,non_move_action
275,info@arvera.es,Mail/pop.serviciodecorreo-1.es,Remitente es: dmunilla@snovit.eu,Copy to folder,COMERCIAL JOPE,/IPM_SUBTREE/COMERCIAL JOPE,"OR (from,is,dmunilla@snovit.eu) OR (from,is,@snovit.eu)",2,from,is,non_move_action
508,info@arvera.es,Mail/pop.serviciodecorreo-1.es,Remitente es: factura@cevamiberica.com,Move to folder,CEVAM,/IPM_SUBTREE/CEVAM,"OR (from,is,factura@cevamiberica.com) OR (all addresses,contains,ramon.hernandez.cevamiberica.com) OR (from,is,almacen@cevamiberica.com) OR (from,contains,@cevamiberica.com) OR (from,ends with,@cevam.com)",5,all addresses;from,contains;ends with;is,unsupported_field
527,info@arvera.es,Mail/pop.serviciodecorreo-1.es,Remitente es: dmunilla@snovit.eu,Copy to folder,COMERCIAL JOPE,/IPM_SUBTREE/COMERCIAL JOPE,"OR (from,is,dmunilla@snovit.eu) OR (from,is,@snovit.eu)",2,from,is,non_move_action
760,info@arvera.es,Mail/pop.serviciodecorreo-1.es,Remitente es: factura@cevamiberica.com,Move to folder,CEVAM,/IPM_SUBTREE/CEVAM,"OR (from,is,factura@cevamiberica.com) OR (all addresses,contains,ramon.hernandez.cevamiberica.com) OR (from,is,almacen@cevamiberica.com) OR (from,contains,@cevamiberica.com) OR (from,ends with,@cevam.com)",5,all addresses;from,contains;ends with;is,unsupported_field
786,info@arvera.es,Mail/pop.serviciodecorreo-1.es,Remitente es: facturas@comlineiberica.com,Move to folder,Trash,/IPM_SUBTREE/Trash,"AND (from,is,facturas@comlineiberica.com)",1,from,is,special_target
981,info@arvera.es,Mail/pop.serviciodecorreo-1.es,Remitente es: factura@cevamiberica.com,Move to folder,CEVAM,/IPM_SUBTREE/CEVAM,"OR (from,is,factura@cevamiberica.com) OR (all addresses,contains,ramon.hernandez.cevamiberica.com) OR (from,is,almacen@cevamiberica.com) OR (from,contains,@cevamiberica.com) OR (from,ends with,@cevam.com)",5,all addresses;from,contains;ends with;is,unsupported_field
1003,info@arvera.es,Mail/pop.serviciodecorreo-1.es,Asunto es: noreply@facebookmail.com,Delete,,,"AND (subject,is,noreply@facebookmail.com)",1,subject,is,non_move_action
1012,info@arvera.es,Mail/pop.serviciodecorreo-1.es,Asunto contiene: Confirmacion del pedido,Mark read,,,"OR (subject,contains,Confirmacion del pedido)",1,subject,contains,non_move_action
1047,info@arvera.es,Mail/pop.serviciodecorreo-1.es,Remitente termina con: @comlineiberica.com,Delete,,,"AND (from,ends with,@comlineiberica.com)",1,from,ends with,non_move_action
1195,info@arvera.es,Mail/pop.serviciodecorreo-1.es,Remitente es: factura@cevamiberica.com,Move to folder,CEVAM,/IPM_SUBTREE/CEVAM,"OR (from,is,factura@cevamiberica.com) OR (all addresses,contains,ramon.hernandez.cevamiberica.com) OR (from,is,almacen@cevamiberica.com) OR (from,contains,@cevamiberica.com) OR (from,ends with,@cevam.com)",5,all addresses;from,contains;ends with;is,unsupported_field
1408,grico@arvera.es,Mail/pop.serviciodecorreo.es,Remitente es: factura@cevamiberica.com,Move to folder,CEVAM,/IPM_SUBTREE/CEVAM,"OR (from,is,factura@cevamiberica.com) OR (all addresses,contains,ramon.hernandez.cevamiberica.com) OR (from,is,almacen@cevamiberica.com) OR (from,contains,@cevamiberica.com) OR (from,ends with,@cevam.com)",5,all addresses;from,contains;ends with;is,unsupported_field
1606,grico@arvera.es,Mail/pop.serviciodecorreo.es,Remitente es: factura@cevamiberica.com,Move to folder,CEVAM,/IPM_SUBTREE/CEVAM,"OR (from,is,factura@cevamiberica.com) OR (all addresses,contains,ramon.hernandez.cevamiberica.com) OR (from,is,almacen@cevamiberica.com) OR (from,contains,@cevamiberica.com) OR (from,ends with,@cevam.com)",5,all addresses;from,contains;ends with;is,unsupported_field
1623,grico@arvera.es,Mail/pop.serviciodecorreo.es,Remitente es: no-reply@gls-spain.dev,Delete,,,"AND (from,is,no-reply@gls-spain.dev)",1,from,is,non_move_action
1624,grico@arvera.es,Mail/pop.serviciodecorreo.es,Remitente es: reminders@facebookmail.com,Delete,,,"AND (from,is,reminders@facebookmail.com)",1,from,is,non_move_action
